time,steps_j1,steps_j2,steps_j3,steps_j4,steps_j5,steps_j6
0.021553599999606377,0,1,-21,0,4,0
0.020885600000838167,0,1,-21,0,4,0
0.022504399999888847,0,2,-22,0,4,0
0.0219106999993528,0,2,-22,0,4,0
0.021551499999986845,0,1,-22,0,4,0
0.02143140000043786,0,2,-22,0,4,0
0.021425299999464187,0,2,-22,0,4,0
0.0211103000001458,0,1,-22,0,4,0
0.020854600000348,0,2,-22,0,4,0
0.021964599999591883,0,2,-23,0,4,0
0.021957700000712066,0,2,-23,0,4,0
0.12928439999996044,-5,0,-1,0,0,-1
0.024367299999539682,-6,0,-1,1,0,-1
0.021033400000305846,-5,0,-1,0,0,-1
0.022025700000085635,-5,0,-1,0,0,-1
0.02244539999992412,-5,0,-1,0,0,-1
0.02101070000026084,-5,0,-1,0,0,-1
0.02240659999915806,-5,0,-2,0,0,-1
0.02142210000056366,-5,0,-2,0,0,-1
0.02199560000008205,-5,0,-2,0,0,-1
0.021925799999735318,-5,0,-2,0,0,-1
0.020996899999772722,-5,0,-2,0,0,-1
0.021984099999826867,-5,0,-2,0,0,-1
0.02100310000059835,-5,0,-2,0,0,-1
0.021438400000079127,-5,0,-2,0,0,-1
0.020977899999707006,-5,0,-2,0,0,-1
0.0219796999999744,-5,0,-2,0,0,-1
0.02235079999991285,-5,0,-2,0,0,-1
0.022513400000207184,-5,0,-2,0,0,-1
0.021948100000372506,-5,0,-2,0,0,-1
0.021242699999675096,-5,0,-2,0,0,-1
0.021209300000009534,-5,0,-2,0,0,-1
0.022027699999853212,-5,0,-3,0,0,-1
0.021436099999846192,-5,0,-3,0,0,-1
0.021433699999761302,-5,0,-3,0,0,-1
0.021474200000739074,-5,0,-3,0,0,-1
0.020931199999722594,-5,0,-3,0,0,-1
0.021213799999713956,-5,0,-3,0,0,-1
0.021224800000709365,-5,0,-3,0,0,-1
0.021518299999115698,-5,0,-3,0,0,-1
0.021403200000349898,-5,0,-3,0,0,-1
0.021590999999716587,-5,0,-4,0,0,-1
0.021353000000090105,-5,0,-4,0,0,-1
0.02200619999985065,-5,0,-4,0,0,-1
0.022192500000528526,-5,0,-4,0,0,-1
0.020775299999513663,-5,0,-4,0,0,0
0.0218856000001324,-5,0,-4,0,0,-1
0.022566399999959685,-5,0,-4,0,0,-1
0.02242030000070372,-5,0,-4,0,0,-1
0.021467899999151996,-5,0,-4,0,0,0
0.0214510000005248,-5,0,-4,0,0,0
0.020975499999622116,-5,0,-4,0,0,0
0.02103250000072876,-5,0,-4,0,0,0
0.021285899999384128,-5,0,-4,0,0,0
0.0211090000002514,-5,0,-4,0,0,0
0.022991699999693083,-5,0,-5,0,0,-1
0.022921300000234623,-5,0,-5,0,0,-1
0.022420100000090315,-5,0,-5,0,0,-1
0.021420099999886588,-5,0,-5,0,0,0
0.02100369999971008,-5,0,-5,0,0,0
0.021472400000675407,-5,0,-5,0,0,0
0.020932599999468948,-5,0,-5,0,0,0
0.021031799999946088,-5,0,-5,0,0,0
0.021422700000584882,-5,0,-5,0,0,0
0.021492899999429937,-5,0,-5,0,0,0
0.022458299999925657,-5,0,-5,0,0,0
0.02146820000052685,-5,0,-5,0,0,0
0.021926100000200677,-5,1,-5,0,0,0
0.02248579999923095,-5,1,-5,0,0,0
0.02148940000006405,-5,0,-5,0,0,0
0.02093730000069627,-5,0,-5,0,0,0
0.021030099999734375,-5,1,-5,0,0,0
0.021389699999417644,-5,1,-5,0,0,0
0.022493600000416336,-5,1,-6,0,0,0
0.020437099999981,-5,1,-5,0,0,0
0.02148829999987356,-5,1,-6,0,0,0
0.02095550000012736,-5,1,-6,0,0,0
0.02259109999977227,-5,1,-6,0,0,0
0.02134920000025886,-5,1,-6,0,0,0
0.02199190000010276,-5,1,-6,0,0,0
